IncomingPassengers,Line,NameOfStation,OutgoingPassengers,Quarter,Year,global_id
1046968,Люблинско-Дмитровская линия,Достоевская,1087694,I квартал,2021,1138976324
3744342,Серпуховско-Тимирязевская линия,Алтуфьево,3670627,I квартал,2021,1138976325
1198257,Люблинско-Дмитровская линия,Трубная,1245419,I квартал,2021,1138976326
2336897,Серпуховско-Тимирязевская линия,Бибирево,2353060,I квартал,2021,1138976327
2747621,Серпуховско-Тимирязевская линия,Дмитровская,2792649,I квартал,2021,1138976334
3637756,Серпуховско-Тимирязевская линия,Менделеевская,3826231,I квартал,2021,1138976337
1711195,Серпуховско-Тимирязевская линия,Чеховская,1796943,I квартал,2021,1138976341
514499,Серпуховско-Тимирязевская линия,Боровицкая,539813,I квартал,2021,1138976342
2808291,Серпуховско-Тимирязевская линия,Тульская,2903805,I квартал,2021,1138976347
2560849,Серпуховско-Тимирязевская линия,Чертановская,2549754,I квартал,2021,1138976356
1068793,Люблинско-Дмитровская линия,Шипиловская,1066456,I квартал,2021,1138976357
1818068,Серпуховско-Тимирязевская линия,Южная,1809453,I квартал,2021,1138976358
817039,Люблинско-Дмитровская линия,Зябликово,819731,I квартал,2021,1138976359
1992202,Серпуховско-Тимирязевская линия,Аннино,1835961,I квартал,2021,1138976364
4440600,Серпуховско-Тимирязевская линия,Бульвар Дмитрия Донского,4308662,I квартал,2021,1138976365
1150365,Некрасовская линия,Лухмановская,1086191,I квартал,2021,1138976375
752848,Большая кольцевая линия,Петровский парк,778402,I квартал,2021,1138976383
3153341,Люблинско-Дмитровская линия,Чкаловская,3074001,I квартал,2021,1138976394
1530271,Люблинско-Дмитровская линия,Римская,1554185,I квартал,2021,1138976396
62,Большая кольцевая линия,Мневники,386,I квартал,2021,1138976397
1669089,Люблинско-Дмитровская линия,Кожуховская,1753443,I квартал,2021,1138976401
498037,Солнцевская линия,Минская,508482,I квартал,2021,1138976404
1379460,Люблинско-Дмитровская линия,Волжская,1433991,I квартал,2021,1138976405
1022869,Солнцевская линия,Ломоносовский проспект,1025302,I квартал,2021,1138976406
3518435,Люблинско-Дмитровская линия,Люблино,3418091,I квартал,2021,1138976407
3022364,Люблинско-Дмитровская линия,Братиславская,3020041,I квартал,2021,1138976409
2569871,Люблинско-Дмитровская линия,Марьино,2552069,I квартал,2021,1138976411
926473,Люблинско-Дмитровская линия,Борисово,919761,I квартал,2021,1138976412
452652,Некрасовская линия,Стахановская,421602,I квартал,2021,1138976419
455737,Солнцевская линия,Боровское шоссе,429979,I квартал,2021,1138976420
492106,Некрасовская линия,Окская,476319,I квартал,2021,1138976421
804158,Некрасовская линия,Юго-Восточная,765596,I квартал,2021,1138976423
301976,Некрасовская линия,Косино,282083,I квартал,2021,1138976425
3750348,Некрасовская линия,Некрасовка,3536276,I квартал,2021,1138976430
2591363,Большая кольцевая линия,ЦСКА,2589130,I квартал,2021,1138976435
18621,Московская монорельсовая транспортная система,Улица Милашенкова,17205,I квартал,2021,1138976436
796268,Большая кольцевая линия,Народное Ополчение,772015,I квартал,2021,1138976442
77363,Московское центральное кольцо,Белокаменная,80367,I квартал,2021,1138976452
1334094,Солнцевская линия,Раменки,1306682,I квартал,2021,1138976453
